student_id,course_id,activity_date,minutes_spent,lessons_completed,progress_pct,last_activity_ts,source_system
S0001,C-HC-210,2026-01-26,46,1,4.52,2026-01-26 07:47:00,lms_canvas
S0001,C-HC-210,2026-01-30,37,3,13.66,2026-01-30 12:23:00,lms_canvas
S0001,C-HC-210,2026-02-05,90,1,35.36,2026-02-05 13:40:00,lms_moodle
S0001,C-HC-210,2026-02-06,46,0,17.35,2026-02-06 14:37:00,lms_canvas
S0001,C-HC-210,2026-02-08,55,1,15.27,2026-02-08 07:37:00,lms_moodle
S0001,C-HC-210,2026-02-12,81,1,33.11,2026-02-12 08:15:00,lms_canvas
S0001,C-HC-210,2026-02-17,68,0,56.93,2026-02-17 16:59:00,lms_canvas
S0001,C-HC-210,2026-02-21,12,2,64.10,2026-02-21 09:08:00,lms_moodle
S0001,C-HC-210,2026-02-22,34,2,85.94,2026-02-22 17:51:00,lms_moodle
S0001,C-HC-210,2026-02-23,29,0,71.35,2026-02-23 17:46:00,lms_canvas
S0001,C-HC-210,2026-02-26,37,0,65.03,2026-02-26 20:35:00,lms_moodle
S0001,C-HC-210,2026-03-07,74,5,83.17,2026-03-07 11:34:00,lms_moodle
S0001,C-HC-210,2026-03-08,46,5,83.28,2026-03-08 11:04:00,lms_canvas
S0001,C-HC-210,2026-03-12,62,2,100.00,2026-03-12 17:29:00,lms_canvas
S0001,C-HC-210,2026-03-14,86,4,86.15,2026-03-14 11:56:00,lms_canvas
S0001,C-HC-210,2026-03-21,84,2,100.00,2026-03-21 13:20:00,lms_canvas
S0001,C-HC-210,2026-03-24,89,4,100.00,2026-03-24 12:33:00,lms_moodle
S0001,C-HC-210,2025-11-02,89,0,6.53,2025-11-02 10:11:00,lms_canvas
S0001,C-HC-210,2025-11-03,30,0,13.80,2025-11-03 09:02:00,lms_moodle
S0001,C-HC-210,2025-11-14,89,3,36.93,2025-11-14 14:03:00,lms_moodle
S0001,C-HC-210,2025-11-16,33,4,48.71,2025-11-16 06:59:00,lms_canvas
S0001,C-HC-210,2025-11-22,88,3,74.28,2025-11-22 08:29:00,lms_canvas
S0001,C-HC-210,2025-11-29,51,4,82.07,2025-11-29 19:52:00,lms_moodle
S0001,C-HC-210,2025-12-05,12,4,59.73,2025-12-05 07:46:00,lms_canvas
S0001,C-HC-210,2025-12-07,43,0,100.00,2025-12-07 22:06:00,lms_canvas
S0001,C-HC-210,2025-12-23,34,4,100.00,2025-12-23 12:33:00,lms_canvas
S0001,C-HC-210,2025-12-09,63,5,13.98,2025-12-09 09:10:00,lms_canvas
S0001,C-HC-210,2025-12-25,75,3,44.21,2025-12-25 11:34:00,lms_moodle
S0001,C-HC-210,2025-12-29,50,2,54.60,2025-12-29 16:54:00,lms_moodle
S0001,C-HC-210,2026-01-07,57,5,65.14,2026-01-07 16:38:00,lms_canvas
S0001,C-HC-210,2026-01-08,77,4,51.40,2026-01-08 14:23:00,lms_moodle
S0001,C-HC-210,2026-01-12,62,3,40.02,2026-01-12 07:18:00,lms_canvas
